altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,presMax,presMin
115,"23,5","0,0","19,7","27,3",07,"3,1","8,1","1005,4","1003,1"
410,"26,2","0,0","17,4","35,1",19,"4,2","11,4","975,0","971,6"
808,"27,0","0,0","19,0","35,0",12,"2,2","8,3","931,8","928,9"
582,"23,8","0,0","13,0","34,5",99,"1,4","4,2","957,9","953,3"
17,"23,3","0,0","18,6","28,0",20,"2,2","6,1","1021,5","1019,5"
88,"25,1","0,0","14,8","35,4",02,"1,4","6,7","1013,1","1009,2"
715,"22,6","0,0","13,4","31,9",02,"0,6","5,0","942,8","939,3"
874,"22,6","0,0","14,6","30,5",33,"2,2","7,8",,
43,"23,6","0,0","18,2","28,9",28,"1,7","5,3","1018,3","1015,9"
25,"26,0","0,0","22,3","29,7",99,"4,4","8,9","1015,5","1012,6"
1893,"19,3","0,0","14,7","23,9",99,"3,6","8,3","823,8","821,9"
870,"19,5","0,0","7,8","31,2",16,"0,8","6,9","925,5","922,7"
1220,"22,9","0,0","18,4","27,4",,,,,
334,"24,1","0,0","15,6","32,6",03,"0,8","5,0",,
273,"26,0","0,0","17,1","34,9",05,"0,6","4,4","991,1","986,8"
98,"20,4",Ip,"17,1","23,6",99,"1,9","5,8","1009,5","1006,7"
127,"20,1",Ip,"17,4","22,8",99,"2,8","8,9","1006,9","1003,7"
71,"22,6","0,0","16,7","28,6",99,"1,9","6,7","1014,7","1012,8"
632,"23,8","0,0","16,6","31,0",28,"3,9","10,3","949,9","947,9"
249,"25,2","0,0","16,6","33,9",32,"0,3","4,7","994,1","989,6"
36,"24,6","0,0","22,3","27,0",08,"2,2","6,7","1015,0","1012,3"
3,"22,1","0,0","16,8","27,4",08,"2,5","8,1","1023,1","1020,1"
15,"23,4","0,0","15,3","31,6",21,"2,2","10,8","1021,9","1019,3"
28,"28,0","0,0","22,6","33,4",10,"4,4","12,5","1017,4","1014,1"
1140,"22,6","0,0","14,9","30,2",20,"2,5","9,7","897,0","894,6"
513,"24,9","0,0","15,7","34,1",10,"2,5","6,1","964,8","960,7"
580,"22,2","0,0","9,0","35,3",03,"1,1","6,9","958,1","953,9"
143,"23,8","0,0","16,1","31,4",19,"1,4","7,2","1008,0","1006,0"
607,"22,4","0,0","12,3","32,6",04,"1,9","5,3","954,3","950,7"
32,"23,2","0,0","21,2","25,1",09,"10,8","18,9",,
50,"24,1","0,0","16,1","32,1",13,"1,9","7,2","1017,6","1015,3"
40,"20,5","0,0","17,2","23,8",20,"0,8","6,4",,
1131,"20,2","0,0","10,7","29,8",10,"1,9","8,1","899,4","897,3"
8,,"0,0",,,12,"1,4","4,4","1023,1","1019,8"
770,"26,2",,"19,0","33,4",,,,"936,5","933,4"
62,"25,6","0,0","17,3","33,9",07,"1,4","5,8","1017,4","1013,3"
186,"25,2","0,0","16,3","34,1",20,"1,1","4,2","1000,7","996,6"
690,"22,8","0,0","12,4","33,1",11,"2,2","7,2","944,8","941,6"
372,"24,6","0,0","15,4","33,7",09,"1,1","7,8",,
291,"23,4","0,0","15,3","31,5",99,"2,5","10,0","990,5","987,1"
992,"20,0","0,0","10,1","30,0",14,"0,8","7,2","913,7","910,2"
130,"27,0","0,0","17,4","36,6",18,"1,9","7,8","1007,7","1003,3"
54,"22,2","0,0","17,0","27,3",16,"1,9","6,4","1017,8","1014,5"
25,"25,8","0,0","22,1","29,4",09,"2,8","5,0","1015,6","1012,7"
720,"19,8","0,0","5,7","33,9",22,"0,8","6,4",,
186,"24,9","0,0","20,0","29,8",99,"4,7","13,3","998,9","995,9"
605,"22,8","0,0","14,8","30,8",10,"1,7","5,6","956,4","952,8"
74,"23,5",,"18,3","28,7",19,"0,8","3,9",,
450,"22,6","0,0","13,9","31,4",,,,,
45,"22,6","0,0","18,9","26,2",30,"0,8","5,3",,
5,"21,6","0,0","18,8","24,4",,,,"1020,9","1018,1"
650,"26,6","0,0","19,4","33,7",30,"1,4","6,7",,
8,,"0,0",,,28,"1,1","4,7","1022,7","1018,7"
840,"21,2","0,0","12,4","30,0",14,"1,7","7,5","928,9","926,2"
400,"23,3","0,0","13,4","33,2",26,"0,0","4,4",,
466,"25,8","0,0","18,4","33,1",19,"1,9","7,5","970,3","967,1"
14,"27,4","0,0","20,5","34,4",34,"3,9","16,1","1016,2","1013,6"
1080,"19,6","0,0","8,0","31,3",22,"0,8","6,4","904,4","901,8"
687,"23,2","0,0","14,2","32,3",19,"2,8","9,2","944,9","941,7"
779,"22,7","0,0","11,6","33,8",11,"0,8","5,0","936,5","933,3"
531,"24,3","0,0","13,0","35,6",,,,,
643,"22,0","0,0","11,6","32,3",25,"1,7","6,9","951,7","948,6"
862,"25,8","0,0","17,9","33,8",08,"3,1","9,4","926,6","923,8"
1480,"18,8","0,0","13,9","23,7",11,"2,5","8,3",,
52,"22,0","0,0","19,0","25,0",29,"2,8","7,2","1014,6","1012,9"
21,"25,5","0,0","19,9","31,1",99,"3,6","9,2","1020,8","1017,7"
4,"23,7","0,0","15,5","31,9",09,"1,9","7,2","1020,7","1018,9"
183,"23,0","0,0","13,2","32,9",34,"0,3","2,5",,
1450,"20,0","0,0","14,4","25,5",21,"1,7","5,6",,
19,"23,4","0,0","20,2","26,7",09,"2,8","7,2","1023,0","1019,7"
675,"21,2",,"12,0","30,4",,,,,
12,"24,1","0,0","17,5","30,7",12,"2,2","6,4",,
804,"25,4","0,0","16,9","34,0",09,"1,4","6,7",,
38,"22,2","0,0","17,9","26,4",32,"3,1","6,7","1016,9","1013,9"
52,"23,4","0,0","21,1","25,8",09,"2,8","6,4","1016,8","1014,0"
15,,"0,0",,,30,"1,7","5,6","1016,8","1014,4"
10,"26,2",,"22,4","30,1",28,"3,9","8,1",,
60,"20,5","0,0","19,0","22,0",26,"1,9","9,4","1014,5","1011,0"
447,"25,4","0,0","15,1","35,6",31,"1,1","5,0","972,0","967,9"
228,"25,5","0,0","15,1","35,9",06,"1,9","5,3",,
459,"22,0","0,0","11,5","32,5",05,"0,8","3,6","972,0","968,3"
146,"24,8","0,0","14,6","35,1",26,"0,6","5,0",,
546,"25,1","0,0","17,8","32,4",08,"1,1","6,4","960,9","957,5"
51,"22,0","0,0","19,1","24,9",99,"3,1","6,7","1014,5","1012,1"
1025,"22,8","0,0","15,9","29,6",02,"3,1","7,5","909,5","907,3"
444,"25,1","0,0","16,8","33,4",17,"1,9","6,7","971,3","968,2"
680,"23,2","0,0","12,7","33,7",16,"2,2","8,3","945,8","943,0"
17,"25,6","0,0","19,4","31,8",18,"0,6","4,4",,
580,"28,8","0,0","23,9","33,6",12,"3,1","10,0","957,3","954,0"
18,"25,4","0,0","16,9","33,8",21,"2,5","8,3","1019,1","1016,0"
33,"24,4","0,0","22,0","26,8",02,"3,3","7,8","1014,6","1012,5"
353,"22,3","0,0","13,2","31,4",10,"1,7","5,8","982,0","978,2"
42,"24,7","0,0","17,1","32,3",99,"2,8","6,7","1017,1","1014,8"
727,"23,5","0,0","14,2","32,8",27,"0,6","5,3","941,4","938,1"
572,"27,4","0,0","19,8","35,0",12,"2,2","6,4","957,0","954,0"
662,"22,9","0,0","11,2","34,6",08,"2,5","10,3","948,8","945,2"
640,"21,7","0,0","10,9","32,5",15,"1,4","6,4","952,3","949,1"
807,"24,0","0,0","14,9","33,0",16,"1,7","8,3",,
90,"19,0","0,0","17,7","20,3",28,"4,4","10,0","1011,0","1007,5"
56,"24,4","0,0","16,4","32,3",99,"3,1","8,9","1016,2","1013,1"
620,"24,5","0,0","16,4","32,6",14,"1,4","5,3","953,8","950,1"
4,"21,5","0,0","14,5","28,5",,,,,
258,"25,8","0,0","16,6","35,0",13,"1,1","4,2","994,0","989,6"
4,"23,7","0,0","15,4","32,0",09,"1,9","7,2","1020,7","1018,9"
40,"23,6","0,0","16,1","31,1",03,"1,9","7,5","1019,9","1018,0"
3,"24,6","0,0","17,3","32,0",13,"1,4","6,1","1021,0","1018,0"
551,"24,9","0,0","15,3","34,5",16,"0,8","5,8","960,2","956,5"
1020,"20,1","0,0","11,2","29,0",19,"1,7","6,7","910,0","907,3"
820,"23,1","0,0","14,4","31,8",07,"1,4","6,9",,
